decade,editions_for_decade,distinct_booktrade_actors,items_with_no_actors,items_with_no_publishers,items_with_no_printers,items_with_no_booksellers,total_publishers,total_printers,total_booksellers,total_actors,items_with_no_actors_per_all_editions,items_with_no_publishers_per_all_editions,items_with_no_printers_per_all_editions,items_with_no_booksellers_per_all_editions,items_with_publishers_per_all_editions,items_with_printers_per_all_editions,items_with_booksellers_per_all_editions,actors_per_item_with_actors,printers_per_item_with_printers,publishers_per_item_with_publishers,booksellers_per_item_with_booksellers,items_with_actors,titles_per_unique_actor,canon_no_actors,canon_no_pub,canon_no_pri,canon_no_sel,canon_printers_per,canon_publishers_per,canon_booksellers_per
1680,20404,6494,4530,4845,13978,18058,20857,8291,3022,25725,0.22201529111938836,0.23745344050186237,0.6850617525975299,0.8850225445990982,0.7625465594981377,0.3149382474024701,0.11497745540090176,1.260782199568712,0.40634189374632423,1.0222015291119388,0.14810821407567143,15874,2.4444102248229136,0.08611326609775019,0.13343677269200932,0.48719937936384794,0.8308766485647789,0.7517455391776571,1.3273855702094648,0.2443754848719938
1690,19353,5679,5597,5843,13308,16925,17977,7458,3220,21881,0.28920580788508243,0.30191701544980104,0.6876453263059991,0.8745414147677363,0.698082984550199,0.31235467369400094,0.12545858523226372,1.1306257427788973,0.38536660982793364,0.9288999121583217,0.1663824730016018,13756,2.4222574396900862,0.059025394646533974,0.06657515442690459,0.3822923816060398,0.9238160603980783,0.7940974605353466,1.3905284831846259,0.10844200411805079
1700,22340,5961,7452,7945,14483,18403,18989,9318,4880,23707,0.3335720680393912,0.35564010743061775,0.6482990152193375,0.823769024171889,0.6443598925693823,0.3517009847806625,0.17623097582811098,1.0611906893464638,0.41709937332139657,0.85,0.21844225604297224,14888,2.497567522227814,0.09685086155674391,0.11942959001782531,0.5098039215686274,0.8591800356506238,0.5852644087938206,1.34640522875817,0.23291740938799763
1710,25129,6512,7165,7809,17291,20537,24045,10057,6999,30794,0.28512873572366587,0.3107564964781726,0.6880894583946834,0.8172629233156911,0.6892435035218274,0.3119105416053166,0.18273707668430894,1.2254367463886346,0.40021489116160613,0.9568625890405508,0.2785228222372558,17964,2.7585995085995085,0.080338266384778,0.10200845665961945,0.5422832980972516,0.821353065539112,0.5454545454545454,1.4503171247357294,0.33879492600422834
1720,21616,6845,6409,6848,14889,18263,23158,8746,6069,29397,0.29649333826794966,0.3168023686158401,0.6887953367875648,0.8448834196891192,0.6831976313841599,0.31120466321243523,0.15511658031088082,1.3599648408586233,0.4046076980014804,1.0713360473723168,0.2807642487046632,15207,2.2216216216216216,0.08713503649635036,0.10218978102189781,0.5260036496350365,0.8416970802919708,0.5766423357664233,1.7354014598540146,0.3302919708029197
1730,21569,7457,5923,6330,15199,18241,23006,7712,6155,29418,0.27460707496870507,0.29347674903797116,0.7046687375399879,0.8457044832861977,0.7065232509620288,0.29533126246001207,0.15429551671380226,1.363901896239974,0.357550187769484,1.066623394686819,0.28536325281654223,15646,2.098162800053641,0.10289017341040463,0.11560693641618497,0.5838150289017341,0.8458574181117534,0.4932562620423892,1.7441233140655106,0.26473988439306356
1740,23118,8248,6268,6825,15826,18833,23415,9734,7662,30365,0.2711307206505753,0.29522450038930703,0.6845747902067653,0.8146465957262738,0.704775499610693,0.31542520979323474,0.18535340427372615,1.3134786746258327,0.4210571848775846,1.0128471321048533,0.3314300545029847,16850,2.0429194956353056,0.10551181102362205,0.11692913385826771,0.5771653543307087,0.7881889763779527,0.5291338582677165,1.6598425196850393,0.3736220472440945
1750,27272,9536,7989,8768,19171,22536,29833,10927,8931,37078,0.292937811674978,0.32150190671751244,0.7029554121443239,0.826342035787621,0.6784980932824876,0.2970445878556761,0.173657964212379,1.3595629216779115,0.40066735112936347,1.0939058374889996,0.3274787327662071,19283,2.022126677852349,0.14050329538645895,0.1542840023966447,0.6213301378070701,0.8238466147393649,0.48921509886159376,1.8499101258238466,0.3262432594367885
1760,32430,12084,11012,11769,23014,27775,37028,13191,9795,45957,0.3395621338267037,0.36290471785383904,0.7096515572001233,0.8564600678384212,0.637095282146161,0.2903484427998767,0.1435399321615788,1.417113783533765,0.4067530064754857,1.141782300339192,0.30203515263644776,21418,1.7724263488910956,0.13915772953178132,0.15014386607376407,0.6152236463510332,0.8694742348940623,0.5249803818990322,2.1281715929897986,0.2772691603452786
1770,40136,14839,12136,13387,26421,33385,46150,18615,13498,57856,0.30237193541957347,0.3335409607335061,0.6582868247956947,0.831796890572055,0.666459039266494,0.34171317520430533,0.16820310942794503,1.4414989037273271,0.46379808650588,1.1498405421566673,0.3363065577038071,28000,1.8869196037468832,0.192090395480226,0.20883029922577945,0.6760828625235404,0.8290437329985353,0.4339820046034735,1.9688219292739066,0.30675873613726723
1780,47460,18441,15330,16631,30496,40396,47391,22481,15041,61442,0.3230088495575221,0.3504214075010535,0.6425621576064054,0.8511588706278972,0.6495785924989466,0.35743784239359455,0.1488411293721028,1.294605983986515,0.47368310155920773,0.9985461441213653,0.3169195111672988,32130,1.7423133235724744,0.20256465985655292,0.22321234514236035,0.6422516844164312,0.8448163442729841,0.47815692240817215,1.6546402955879156,0.2501630080417301
1790,75599,30164,22859,25208,44733,62041,76410,40470,30919,106968,0.30237172449371025,0.3334435640683078,0.5917141761134407,0.8206590034259712,0.6665564359316922,0.4082858238865593,0.1793409965740288,1.414939351049617,0.5353245413299118,1.0107276551277133,0.40898689136099686,52740,1.748441851213367,0.15900503778337532,0.17522040302267003,0.5562027707808564,0.7929785894206549,0.5902078085642317,1.6245277078085643,0.38129722921914355
