pubyear,new_work,stable,return_of_earlier_publisher,new_publisher_old_inactive,new_publisher
1742,787.0000000000014,159.36839826839824,43.61666666666667,90.0,209.014935064935
1743,709.0000000000008,174.73204573204578,34.520289269553956,102.92380952380968,194.8238554745907
1744,685.0000000000005,176.36493506493508,40.612121212121195,86.39999999999998,174.6229437229438
1745,902.0000000000015,149.21121933621933,43.866666666666674,102.30000000000001,197.6221139971138
1746,854.0000000000015,177.0333333333334,26.397721722721723,63.70512820512822,150.8638167388168
1747,728.0000000000002,136.9240941303102,40.277795193312436,58.75000000000006,193.0481106763774
1748,726.0000000000009,176.21814574314578,48.05151515151524,83.27619047619054,193.45414862914873
1749,824.0000000000027,207.22142857142853,49.978124326653734,98.0778280542987,208.72261904761902
1750,900.0000000000015,204.02784992784999,72.58820982938636,138.9172014260252,303.4667388167388
1751,741.0000000000013,206.3086691086692,59.706944444444474,90.99999999999999,249.98438644688648
1752,680.0000000000002,193.0380952380952,60.716269841269884,105.86111111111117,220.3845238095237
1753,840.0000000000016,213.02643467643492,48.955738705738696,97.22222222222224,218.7956043956039
1754,773.0000000000006,216.60540293040293,48.9640692640693,75.49999999999999,205.93052780552756
1755,908.0000000000034,185.40714710126477,55.05409982174693,112.49999999999999,313.0387530769879
1756,905.0000000000044,169.50349012099028,60.227202928650364,68.07575757575765,255.19354937460176
1757,825.000000000002,164.6605158730159,54.91698184856083,104.44696969696936,219.97553258145345
1758,850.0000000000024,178.18638642059705,50.90219488114227,110.00000000000007,220.91141869826095
1759,875.0000000000014,207.88472463209288,61.9438126201285,95.03809523809531,280.13336750968267
1760,964.0000000000026,219.34695014681566,64.31167811656951,123.03095238095251,317.3104193556616
1761,835.0000000000027,179.24432627829688,51.82223456282278,112.77777777777774,280.1556613811024
1762,758.000000000004,212.93677044661564,76.71724538533365,101.03571428571426,251.31026988233629
1763,843.0000000000034,208.50510878010883,67.1041042291043,104.99999999999996,255.39078699078678
1764,855.0000000000023,202.77113124301096,62.85066195758154,105.89350459482044,277.48470220458705
1765,870.0000000000027,243.08656299840516,72.42532467532475,121.11666666666673,367.3714456596027
1766,953.000000000005,218.86611604769487,70.80921717171722,130.78333333333333,280.5413334472544
1767,884.0000000000041,215.4959790209792,84.43613331113343,140.50567765567757,333.56221001220956
1768,1034.0000000000061,194.72787860922887,76.11566049986774,117.71568627450982,383.44077461639176
1769,956.0000000000084,201.00255161075626,90.16271820284989,138.33333333333348,342.5013968530606
1770,1168.9999999999968,252.17007752596007,87.3942035089095,175.38333333333304,468.05238563179745
1771,963.0000000000028,235.36498766933545,81.9451837704779,105.7427094474153,317.9471191127705
1772,1010.0000000000082,239.22849487114217,92.07041847041855,135.2705627705626,294.430523887876
1773,1057.0000000000043,238.102627372628,76.23830550168803,121.05952380952377,386.59954331616063
1774,1325.9999999999914,241.0271699484278,68.30209914190435,160.48412698412693,406.186603925541
1775,1549.9999999999875,280.35963508885317,94.4616253428949,145.88888888888886,485.28985067936156
1776,1400.9999999999945,246.84936321848093,90.89398434812529,124.5478345184227,461.70881791497015
1777,1289.999999999997,269.76286050905594,75.35193103997455,128.7321428571429,504.1530655938238
1778,1178.9999999999989,213.09431511471,74.67689800911174,124.74333333333337,376.48545354284454
1779,1313.9999999999914,200.80061605061613,57.111349761349786,118.39206349206349,325.69597069596995
1780,1335.9999999999961,248.09114774114798,75.09633005883016,157.84696969696986,348.9655525030521
1781,1126.9999999999995,231.61435786435783,70.6940835308483,107.80952380952378,294.8820347952701
1782,1174.9999999999984,251.60766955266985,69.4012763637157,105.00000000000001,312.99105408361373
1783,1370.999999999991,249.21530136530131,83.82219724719744,128.24761904761903,345.7148823398824
1784,1384.99999999999,289.7301948051947,85.46973499042484,133.51851851851848,367.28155168586153
1785,1475.9999999999884,286.86407417748626,108.45978327228329,171.2,466.4761425502293
1786,1450.999999999987,274.0608524250368,95.00579108945908,149.31280193236714,404.62055455313714
